"","date","gdp_value","unemployment_value","fed_funds_value","recession"
"1","1990-01-01",5872.701,5.3,8.25,0
"2","1990-04-01",5960.028,5.3,8.24,0
"3","1990-07-01",6015.116,5.7,8.16,1
"4","1990-10-01",6004.733,6.1,7.74,1
"5","1991-01-01",6035.178,6.6,6.43,1
"6","1991-04-01",6126.862,6.8,5.86,0
"7","1991-07-01",6205.937,6.9,5.64,0
"8","1991-10-01",6264.54,7.1,4.82,0
"9","1992-01-01",6363.102,7.4,4.02,0
"10","1992-04-01",6470.763,7.6,3.77,0
"11","1992-07-01",6566.641,7.6,3.26,0
"12","1992-10-01",6680.803,7.4,3.04,0
"13","1993-01-01",6729.459,7.1,3.04,0
"14","1993-04-01",6808.939,7.1,3,0
"15","1993-07-01",6882.098,6.8,3.06,0
"16","1993-10-01",7013.738,6.6,2.99,0
"17","1994-01-01",7115.652,6.6,3.21,0
"18","1994-04-01",7246.931,6.2,3.94,0
"19","1994-07-01",7331.075,6,4.49,0
"20","1994-10-01",7455.288,5.6,5.17,0
"21","1995-01-01",7522.289,5.5,5.81,0
"22","1995-04-01",7580.997,5.7,6.02,0
"23","1995-07-01",7683.125,5.7,5.8,0
"24","1995-10-01",7772.586,5.6,5.72,0
"25","1996-01-01",7868.468,5.5,5.36,0
"26","1996-04-01",8032.84,5.5,5.24,0
"27","1996-07-01",8131.408,5.3,5.31,0
"28","1996-10-01",8259.771,5.3,5.28,0
"29","1997-01-01",8362.655,5.2,5.28,0
"30","1997-04-01",8518.825,5,5.52,0
"31","1997-07-01",8662.823,4.9,5.53,0
"32","1997-10-01",8765.907,4.7,5.51,0
"33","1998-01-01",8866.48,4.6,5.52,0
"34","1998-04-01",8969.699,4.4,5.5,0
"35","1998-07-01",9121.097,4.5,5.53,0
"36","1998-10-01",9293.991,4.4,4.86,0
"37","1999-01-01",9411.682,4.3,4.73,0
"38","1999-04-01",9526.21,4.3,4.75,0
"39","1999-07-01",9686.626,4.2,5.09,0
"40","1999-10-01",9900.169,4.1,5.31,0
"41","2000-01-01",10002.179,4,5.68,0
"42","2000-04-01",10247.72,3.9,6.27,0
"43","2000-07-01",10318.165,4,6.52,0
"44","2000-10-01",10435.744,3.9,6.47,0
"45","2001-01-01",10470.231,4.2,5.59,0
"46","2001-04-01",10599,4.4,4.33,1
"47","2001-07-01",10598.02,4.8,3.5,1
"48","2001-10-01",10660.465,5.5,2.13,1
"49","2002-01-01",10783.5,5.7,1.73,0
"50","2002-04-01",10887.46,5.8,1.75,0
"51","2002-07-01",10984.04,5.7,1.74,0
"52","2002-10-01",11061.433,5.9,1.44,0
"53","2003-01-01",11174.129,5.9,1.25,0
"54","2003-04-01",11312.766,6.1,1.25,0
"55","2003-07-01",11566.669,6.1,1.02,0
"56","2003-10-01",11772.234,5.8,1,0
"57","2004-01-01",11923.447,5.7,1,0
"58","2004-04-01",12112.815,5.6,1.01,0
"59","2004-07-01",12305.307,5.4,1.43,0
"60","2004-10-01",12527.214,5.4,1.95,0
"61","2005-01-01",12767.286,5.3,2.47,0
"62","2005-04-01",12922.656,5.1,2.94,0
"63","2005-07-01",13142.642,5,3.46,0
