,Content_Lemmatized_Sentiment_Analysis,sentiment_rating,label
0,riyadh oct reuters global recession avoided government fiscal policy consistent monetary policy tightening likely would country falling recession n char,-0.8225,Negative
1,melbourne sept reuters oil price dipped early trade friday extending week loss concern tight supply outweighed escalating fear sharp interest rate hike slam char,-0.6249,Negative
2,posted bank england raised key interest rate thursday september said would continue respond forcefully necessary inflation despite eco char,0.4588,Positive
3,washington sept reuters downside risk continue dominate global economic outlook country expected slip recession early say wil char,-0.7506,Negative
4,london sept reuters sterling surrendered gain dollar euro thursday bank england raised key interest rate vowed respond forcefully char,0.7506,Positive
5,berlin oct reuters german government expects europe largest economy slide recession next year energy crisis rising price supply bottleneck take toll econ char,-0.7003,Negative
6,london sept reuters rest world worry recession china steadily increasing import physical copper country net call refined copper rest char,-0.6908,Negative
7,sept reuters u stock index future slipped friday extending fall overnight logistics industry bellwether fedex withdrew financial forecast recession warning char,-0.6369,Negative
8,zurich sept reuters swiss national bank think swiss economy slide recession cannot rule prospect snb chairman thomas jordan said newspaper intervi char,-0.5702,Negative
9,sept reuters abu dhabis stock market fell early trade monday leading decline gulf investor concern prospect global recession mscis broadest index asiap char,-0.1531,Negative
10,london sept reuters world central bank umbrella body bank international settlement bi urged major economy forge ahead forceful interest rate hike despite th char,0.4588,Positive
11,sept reuters stock market gulf extended loss thursday federal reserve sharply hiked u interest rate projected raising faster investor char,0.1779,Positive
12,london sept reuters downturn british business steepened month battled soaring cost faltering demand according survey friday hammered home rising r char,-0.4019,Negative
13,sydney sept reuters asian share market slid wednesday surging borrowing cost fed fear global recession spooking investor arm safehaven dollar driving char,-0.5859,Negative
14,posted european share slid friday september recession warning two major global financial institution bet large interest rate hike u federal reserve next wee char,0.0,Positive
15,london oct reuters portfolio investor continued flee oil market last week amid multiplying sign imminent recession would cut petroleum consumption hedge fund ot char,-0.5994,Negative
16,tokyo oct reuters asian stock declined friday extending global equity slide third day investor fretted recession risk amid sign aggressive central bank polic char,-0.6705,Negative
17,sept reuters european share fell friday recession warning bet large interest rate hike u federal reserve next week knocked sentiment continentwide st char,0.0,Positive
18,paris sept reuters french finance minister bruno le maire said wednesday economy facing recession government lowered economic outlook le maire al char,-0.5106,Negative
19,sept reuters billionaire investor stanley druckenmiller said belief federal reserve monetary policy tightening may push u biggerthanexpected recession next year spe char,-0.4215,Negative
20,sept reuters saudi arabia stock market tumbled sunday leading decline across middle east response friday fall energy price fear aggressive interest rate hike char,0.0772,Positive
21,sept reuters european stock index future fell wednesday line selloff asian market relentless surge global bond yield intensifying energy crisis regi char,-0.4215,Negative
22,sept reuters u stock index future fell monday kicking another week softer footing investor worried federal reserve aggressive push curb inflation may tip char,-0.4215,Negative
23,berlin sept reuters germany four leading economic institute slashed forecast year next expect europe largest economy slip recession char,-0.5719,Negative
24,posted new data wednesday showed uk brink recession meanwhile bank england moved quash speculation would extend emergency bond buying intended calm rout debt char,-0.5994,Negative
25,oct reuters canada main stock index slid tuesday tracking fall global market worry global recession unnerved investor returning long weekend char,-0.6908,Negative
26,bengaluru sept reuters indian share lower early trade friday dragged loss technology automobile stock amid broader weak sentiment concern global recessi char,-0.6597,Negative
27,brussels oct reuters euro zone retail sale fell august data showed thursday pointing weakness consumer demand underlining expectation approaching recession eu char,-0.7269,Negative
28,helsinki sept reuters finland finance ministry monday cut economic growth forecast said country risk recession ministry predicts gross domestic char,-0.7579,Negative
29,london sept reuters portfolio investor anticipate imminent recession hit consumption middle distillate diesel especially hard based recent position change fu char,-0.8479,Negative
30,washington sept reuters gauge future u economic activity declined sixth straight month august potentially signaling recession amid large interest rate increase f char,0.5267,Positive
31,sept reuters central bank hike interest rate pace seen decade control inflation alarm among bond investor looming recession risk spreading fast week char,-0.5859,Negative
32,geneva oct reuters un agency warned monday risk monetary policyinduced global recession would especially serious consequence developing country excessiv char,-0.7645,Negative
33,brussels oct reuters euro zone industrial production soared august far beyond expectation manufacturer boosted investment despite fear upcoming recession official estimate sh char,0.755,Positive
34,bengaluru sept reuters indian share ended around twomonth low wednesday bank energy metal company posting loss fear global recession dented risk sentiment th char,-0.802,Negative
35,bengaluru sept reuters indian share expected open lower wednesday mirroring asian peer risk aversion remained unabated worry global recession india nse stock char,-0.8658,Negative
36,bengaluru sept reuters indian share fell wednesday dragged bank metal company risk sentiment weakened worry global recession nse nifty index nsei fe char,-0.6597,Negative
37,federal reserve may hike interest rate expects conquer inflation cost could painful spike unemployment larry summer warned unlikely char,-0.5994,Negative
38,alreadybattered stock market face pressure recession playbook laid billionaire investor paul tudor jones playbook recession last day f char,-0.7783,Negative
39,investor look avoid stock recession risk rising according blackrock trillion asset manager warned federal reserve central bank undere char,-0.6908,Negative
40,elon musk turnaround billion buyout twitter taking place time reduced investor appetite riskier debt leaving major bank lined finance deal potentially facing char,-0.5994,Negative
41,president joe biden isnt worried recession even alarm bell sound interview cnns jake tapper tapper asked biden american people prepare reces char,0.2071,Positive
42,paris sept reuters french economy slow sharply next year face europe energy crisis risk limited temporary recession worstcase scenario cen char,-0.8316,Negative
43,sydney sept reuters new zealand economy rebounded sharply last quarter lifting coronavirus restriction return tourist helped dodge recession though may last char,-0.5994,Negative
44,hong kong sept reuters california state teacher retirement system calstrs looking appointing chinafocused equity manager first time ever demand asset diversifi char,0.25,Positive
45,hong kong sept reuters asian market weaker friday investor braced u rate hike next week amid growing concern global recession following warning world ban char,-0.875,Negative
46,london sept reuters opec producing target record million barrel per day global demand highlighting underlying tight supply oil market e char,-0.128,Negative
47,london sept reuters bank england raised key interest rate thursday said would continue respond forcefully necessary inflation despite char,0.4588,Positive
48,berlin oct reuters german government expects europe largest economy slide recession next year contracting energy crisis rising price supply bottleneck take char,-0.7003,Negative
49,oct reuters global bond fund saw biggest outflow two decade first three quarter year hefty interest rate increase central bank tame inflation sparked fear char,0.2732,Positive
50,singapore sept reuters oil price climbed early asian trade monday weaker dollar supply concern ahead european union embargo russian oil december offset fear char,-0.7269,Negative
51,tokyo sept reuters oil price slid wednesday extending previous day loss investor braced another aggressive interest rate hike u federal reserve fea char,0.0258,Positive
