"","date","series_id","value","realtime_start","realtime_end"
"1",1990-01-01,"NYGDPPCAPKDUSA",39303.4890094262,2022-10-12,2022-10-12
"2",1991-01-01,"NYGDPPCAPKDUSA",38739.7983208225,2022-10-12,2022-10-12
"3",1992-01-01,"NYGDPPCAPKDUSA",39552.0218779482,2022-10-12,2022-10-12
"4",1993-01-01,"NYGDPPCAPKDUSA",40108.0080371193,2022-10-12,2022-10-12
"5",1994-01-01,"NYGDPPCAPKDUSA",41215.3429307632,2022-10-12,2022-10-12
"6",1995-01-01,"NYGDPPCAPKDUSA",41820.6801876235,2022-10-12,2022-10-12
"7",1996-01-01,"NYGDPPCAPKDUSA",42896.4164829209,2022-10-12,2022-10-12
"8",1997-01-01,"NYGDPPCAPKDUSA",44267.9058817489,2022-10-12,2022-10-12
"9",1998-01-01,"NYGDPPCAPKDUSA",45715.6926453849,2022-10-12,2022-10-12
"10",1999-01-01,"NYGDPPCAPKDUSA",47360.5364177179,2022-10-12,2022-10-12
"11",2000-01-01,"NYGDPPCAPKDUSA",48746.0409600767,2022-10-12,2022-10-12
"12",2001-01-01,"NYGDPPCAPKDUSA",48726.5816727299,2022-10-12,2022-10-12
"13",2002-01-01,"NYGDPPCAPKDUSA",49095.3317986996,2022-10-12,2022-10-12
"14",2003-01-01,"NYGDPPCAPKDUSA",50036.2342349321,2022-10-12,2022-10-12
"15",2004-01-01,"NYGDPPCAPKDUSA",51485.2074124697,2022-10-12,2022-10-12
"16",2005-01-01,"NYGDPPCAPKDUSA",52789.7314187756,2022-10-12,2022-10-12
"17",2006-01-01,"NYGDPPCAPKDUSA",53738.0917251561,2022-10-12,2022-10-12
"18",2007-01-01,"NYGDPPCAPKDUSA",54299.6172405205,2022-10-12,2022-10-12
"19",2008-01-01,"NYGDPPCAPKDUSA",53854.1606116578,2022-10-12,2022-10-12
"20",2009-01-01,"NYGDPPCAPKDUSA",51996.1834952422,2022-10-12,2022-10-12
"21",2010-01-01,"NYGDPPCAPKDUSA",52963.4641697124,2022-10-12,2022-10-12
"22",2011-01-01,"NYGDPPCAPKDUSA",53394.8618380061,2022-10-12,2022-10-12
"23",2012-01-01,"NYGDPPCAPKDUSA",54213.4595516389,2022-10-12,2022-10-12
"24",2013-01-01,"NYGDPPCAPKDUSA",54830.7840664164,2022-10-12,2022-10-12
"25",2014-01-01,"NYGDPPCAPKDUSA",55675.3868536862,2022-10-12,2022-10-12
"26",2015-01-01,"NYGDPPCAPKDUSA",56762.7294515989,2022-10-12,2022-10-12
"27",2016-01-01,"NYGDPPCAPKDUSA",57292.5387829091,2022-10-12,2022-10-12
"28",2017-01-01,"NYGDPPCAPKDUSA",58215.4116283343,2022-10-12,2022-10-12
"29",2018-01-01,"NYGDPPCAPKDUSA",59600.0530984446,2022-10-12,2022-10-12
"30",2019-01-01,"NYGDPPCAPKDUSA",60687.2322580937,2022-10-12,2022-10-12
"31",2020-01-01,"NYGDPPCAPKDUSA",58060.3139482984,2022-10-12,2022-10-12
"32",2021-01-01,"NYGDPPCAPKDUSA",61280.3896017986,2022-10-12,2022-10-12
