"","date","series_id","value","realtime_start","realtime_end"
"1",1990-01-01,"FEDFUNDS",8.25,2022-10-28,2022-10-28
"2",1990-04-01,"FEDFUNDS",8.24,2022-10-28,2022-10-28
"3",1990-07-01,"FEDFUNDS",8.16,2022-10-28,2022-10-28
"4",1990-10-01,"FEDFUNDS",7.74,2022-10-28,2022-10-28
"5",1991-01-01,"FEDFUNDS",6.43,2022-10-28,2022-10-28
"6",1991-04-01,"FEDFUNDS",5.86,2022-10-28,2022-10-28
"7",1991-07-01,"FEDFUNDS",5.64,2022-10-28,2022-10-28
"8",1991-10-01,"FEDFUNDS",4.82,2022-10-28,2022-10-28
"9",1992-01-01,"FEDFUNDS",4.02,2022-10-28,2022-10-28
"10",1992-04-01,"FEDFUNDS",3.77,2022-10-28,2022-10-28
"11",1992-07-01,"FEDFUNDS",3.26,2022-10-28,2022-10-28
"12",1992-10-01,"FEDFUNDS",3.04,2022-10-28,2022-10-28
"13",1993-01-01,"FEDFUNDS",3.04,2022-10-28,2022-10-28
"14",1993-04-01,"FEDFUNDS",3,2022-10-28,2022-10-28
"15",1993-07-01,"FEDFUNDS",3.06,2022-10-28,2022-10-28
"16",1993-10-01,"FEDFUNDS",2.99,2022-10-28,2022-10-28
"17",1994-01-01,"FEDFUNDS",3.21,2022-10-28,2022-10-28
"18",1994-04-01,"FEDFUNDS",3.94,2022-10-28,2022-10-28
"19",1994-07-01,"FEDFUNDS",4.49,2022-10-28,2022-10-28
"20",1994-10-01,"FEDFUNDS",5.17,2022-10-28,2022-10-28
"21",1995-01-01,"FEDFUNDS",5.81,2022-10-28,2022-10-28
"22",1995-04-01,"FEDFUNDS",6.02,2022-10-28,2022-10-28
"23",1995-07-01,"FEDFUNDS",5.8,2022-10-28,2022-10-28
"24",1995-10-01,"FEDFUNDS",5.72,2022-10-28,2022-10-28
"25",1996-01-01,"FEDFUNDS",5.36,2022-10-28,2022-10-28
"26",1996-04-01,"FEDFUNDS",5.24,2022-10-28,2022-10-28
"27",1996-07-01,"FEDFUNDS",5.31,2022-10-28,2022-10-28
"28",1996-10-01,"FEDFUNDS",5.28,2022-10-28,2022-10-28
"29",1997-01-01,"FEDFUNDS",5.28,2022-10-28,2022-10-28
"30",1997-04-01,"FEDFUNDS",5.52,2022-10-28,2022-10-28
"31",1997-07-01,"FEDFUNDS",5.53,2022-10-28,2022-10-28
"32",1997-10-01,"FEDFUNDS",5.51,2022-10-28,2022-10-28
"33",1998-01-01,"FEDFUNDS",5.52,2022-10-28,2022-10-28
"34",1998-04-01,"FEDFUNDS",5.5,2022-10-28,2022-10-28
"35",1998-07-01,"FEDFUNDS",5.53,2022-10-28,2022-10-28
"36",1998-10-01,"FEDFUNDS",4.86,2022-10-28,2022-10-28
"37",1999-01-01,"FEDFUNDS",4.73,2022-10-28,2022-10-28
"38",1999-04-01,"FEDFUNDS",4.75,2022-10-28,2022-10-28
