"","date","series_id","value","realtime_start","realtime_end"
"1",1990-01-01,"GDP","5872.701",2022-10-14,2022-10-14
"2",1990-04-01,"GDP","5960.028",2022-10-14,2022-10-14
"3",1990-07-01,"GDP","6015.116",2022-10-14,2022-10-14
"4",1990-10-01,"GDP","6004.733",2022-10-14,2022-10-14
"5",1991-01-01,"GDP","6035.178",2022-10-14,2022-10-14
"6",1991-04-01,"GDP","6126.862",2022-10-14,2022-10-14
"7",1991-07-01,"GDP","6205.937",2022-10-14,2022-10-14
"8",1991-10-01,"GDP","6264.54",2022-10-14,2022-10-14
"9",1992-01-01,"GDP","6363.102",2022-10-14,2022-10-14
"10",1992-04-01,"GDP","6470.763",2022-10-14,2022-10-14
"11",1992-07-01,"GDP","6566.641",2022-10-14,2022-10-14
"12",1992-10-01,"GDP","6680.803",2022-10-14,2022-10-14
"13",1993-01-01,"GDP","6729.459",2022-10-14,2022-10-14
"14",1993-04-01,"GDP","6808.939",2022-10-14,2022-10-14
"15",1993-07-01,"GDP","6882.098",2022-10-14,2022-10-14
"16",1993-10-01,"GDP","7013.738",2022-10-14,2022-10-14
"17",1994-01-01,"GDP","7115.652",2022-10-14,2022-10-14
"18",1994-04-01,"GDP","7246.931",2022-10-14,2022-10-14
"19",1994-07-01,"GDP","7331.075",2022-10-14,2022-10-14
"20",1994-10-01,"GDP","7455.288",2022-10-14,2022-10-14
"21",1995-01-01,"GDP","7522.289",2022-10-14,2022-10-14
"22",1995-04-01,"GDP","7580.997",2022-10-14,2022-10-14
"23",1995-07-01,"GDP","7683.125",2022-10-14,2022-10-14
"24",1995-10-01,"GDP","7772.586",2022-10-14,2022-10-14
"25",1996-01-01,"GDP","7868.468",2022-10-14,2022-10-14
"26",1996-04-01,"GDP","8032.84",2022-10-14,2022-10-14
"27",1996-07-01,"GDP","8131.408",2022-10-14,2022-10-14
"28",1996-10-01,"GDP","8259.771",2022-10-14,2022-10-14
"29",1997-01-01,"GDP","8362.655",2022-10-14,2022-10-14
"30",1997-04-01,"GDP","8518.825",2022-10-14,2022-10-14
"31",1997-07-01,"GDP","8662.823",2022-10-14,2022-10-14
"32",1997-10-01,"GDP","8765.907",2022-10-14,2022-10-14
"33",1998-01-01,"GDP","8866.48",2022-10-14,2022-10-14
"34",1998-04-01,"GDP","8969.699",2022-10-14,2022-10-14
"35",1998-07-01,"GDP","9121.097",2022-10-14,2022-10-14
"36",1998-10-01,"GDP","9293.991",2022-10-14,2022-10-14
"37",1999-01-01,"GDP","9411.682",2022-10-14,2022-10-14
"38",1999-04-01,"GDP","9526.21",2022-10-14,2022-10-14
"39",1999-07-01,"GDP","9686.626",2022-10-14,2022-10-14
"40",1999-10-01,"GDP","9900.169",2022-10-14,2022-10-14
"41",2000-01-01,"GDP","10002.179",2022-10-14,2022-10-14
"42",2000-04-01,"GDP","10247.72",2022-10-14,2022-10-14
"43",2000-07-01,"GDP","10318.165",2022-10-14,2022-10-14
"44",2000-10-01,"GDP","10435.744",2022-10-14,2022-10-14
"45",2001-01-01,"GDP","10470.231",2022-10-14,2022-10-14
"46",2001-04-01,"GDP","10599",2022-10-14,2022-10-14
"47",2001-07-01,"GDP","10598.02",2022-10-14,2022-10-14
"48",2001-10-01,"GDP","10660.465",2022-10-14,2022-10-14
"49",2002-01-01,"GDP","10783.5",2022-10-14,2022-10-14
"50",2002-04-01,"GDP","10887.46",2022-10-14,2022-10-14
