"","date","series_id","value","realtime_start","realtime_end"
"1",1990-01-01,"UNRATE",5.3,2022-12-06,2022-12-06
"2",1990-04-01,"UNRATE",5.3,2022-12-06,2022-12-06
"3",1990-07-01,"UNRATE",5.7,2022-12-06,2022-12-06
"4",1990-10-01,"UNRATE",6.1,2022-12-06,2022-12-06
"5",1991-01-01,"UNRATE",6.6,2022-12-06,2022-12-06
"6",1991-04-01,"UNRATE",6.8,2022-12-06,2022-12-06
"7",1991-07-01,"UNRATE",6.9,2022-12-06,2022-12-06
"8",1991-10-01,"UNRATE",7.1,2022-12-06,2022-12-06
"9",1992-01-01,"UNRATE",7.4,2022-12-06,2022-12-06
"10",1992-04-01,"UNRATE",7.6,2022-12-06,2022-12-06
"11",1992-07-01,"UNRATE",7.6,2022-12-06,2022-12-06
"12",1992-10-01,"UNRATE",7.4,2022-12-06,2022-12-06
"13",1993-01-01,"UNRATE",7.1,2022-12-06,2022-12-06
"14",1993-04-01,"UNRATE",7.1,2022-12-06,2022-12-06
"15",1993-07-01,"UNRATE",6.8,2022-12-06,2022-12-06
"16",1993-10-01,"UNRATE",6.6,2022-12-06,2022-12-06
"17",1994-01-01,"UNRATE",6.6,2022-12-06,2022-12-06
"18",1994-04-01,"UNRATE",6.2,2022-12-06,2022-12-06
"19",1994-07-01,"UNRATE",6,2022-12-06,2022-12-06
"20",1994-10-01,"UNRATE",5.6,2022-12-06,2022-12-06
"21",1995-01-01,"UNRATE",5.5,2022-12-06,2022-12-06
"22",1995-04-01,"UNRATE",5.7,2022-12-06,2022-12-06
"23",1995-07-01,"UNRATE",5.7,2022-12-06,2022-12-06
"24",1995-10-01,"UNRATE",5.6,2022-12-06,2022-12-06
"25",1996-01-01,"UNRATE",5.5,2022-12-06,2022-12-06
"26",1996-04-01,"UNRATE",5.5,2022-12-06,2022-12-06
"27",1996-07-01,"UNRATE",5.3,2022-12-06,2022-12-06
"28",1996-10-01,"UNRATE",5.3,2022-12-06,2022-12-06
"29",1997-01-01,"UNRATE",5.2,2022-12-06,2022-12-06
"30",1997-04-01,"UNRATE",5,2022-12-06,2022-12-06
"31",1997-07-01,"UNRATE",4.9,2022-12-06,2022-12-06
