,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'reuters', 'name': 'Reuters'}",,Global recession can be avoided with right fiscal policies -IMF's Georgieva - Reuters,"Global recession can be avoided if governments' fiscal policies were consistent with monetary policy tightening, but likely there would be countries falling into recession next year, the International Monetary Fund's managing director said on Monday.",https://www.reuters.com/markets/asia/global-recession-can-be-avoided-with-right-fiscal-policies-imfs-georgieva-2022-10-03/,https://www.reuters.com/resizer/8W8fki9z-vL-Y0z8vs6bLu1Oiq4=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/BSI42P6YNNI5XJVOXFQQ4ORW7Y.jpg,2022-10-03T19:22:00Z,"RIYADH, Oct 3 (Reuters) - Global recession can be avoided if governments' fiscal policies were consistent with monetary policy tightening, but likely there would be countries falling into recession n… [+3267 chars]"
1,"{'id': 'reuters', 'name': 'Reuters'}",,Oil extends losses on recession fears - Reuters,"Oil prices dipped in early trade on Friday, extending the week's losses as concern over tight supply was outweighed by escalating fear of sharp interest rate hikes slamming global growth and hitting fuel demand.",https://www.reuters.com/business/energy/oil-extends-losses-recession-fears-2022-09-16/,https://www.reuters.com/resizer/NTtAASgfx7F4PhfB1U0UtI5_7vY=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/EVKORGJQM5PN3E6ZMFH7QOE6Z4.jpg,2022-09-16T01:21:00Z,"MELBOURNE, Sept 16 (Reuters) - Oil prices dipped in early trade on Friday, extending the week's losses as concern over tight supply was outweighed by escalating fear of sharp interest rate hikes slam… [+1899 chars]"
2,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,"BoE raises rates, despite likely recession - Reuters","The Bank of England raised its key interest rate to 2.25% from 1.75% on Thursday (September 22) and said it would continue to ""respond forcefully, as necessary"" to inflation, despite the economy probably already being in a shallow recession. Louisa Naks has m…",https://www.reuters.com/video/watch/idOV725522092022RP1,https://static.reuters.com/resources/r/?d=20220922&i=OV725522092022RP1&r=OV725522092022RP1&t=2,2022-09-22T15:16:36Z,"Posted 
The Bank of England raised its key interest rate to 2.25% from 1.75% on Thursday (September 22) and said it would continue to ""respond forcefully, as necessary"" to inflation, despite the eco… [+72 chars]"
3,"{'id': 'reuters', 'name': 'Reuters'}",,IMF sees further slowdown in global economy in third quarter - Reuters,"Downside risks continue to dominate the global economic outlook and some countries are expected to slip into recession in 2023, but it is too early to say if there will be a widespread global recession, IMF spokesman Gerry Rice said on Thursday.",https://www.reuters.com/markets/rates-bonds/imf-sees-further-slowdown-global-economy-third-quarter-2022-09-15/,https://www.reuters.com/resizer/mgUzrgQRgDb4lpHSUmewBttB7tI=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/3VP5Q4SNYZO2ZLOS7OFBMEIUUE.jpg,2022-09-15T14:52:00Z,"WASHINGTON, Sept 15 (Reuters) - Downside risks continue to dominate the global economic outlook and some countries are expected to slip into recession in 2023, but it is too early to say if there wil… [+1675 chars]"
4,"{'id': 'reuters', 'name': 'Reuters'}",,Sterling dented by modest BoE rate hike - Reuters,"Sterling surrendered gains against the dollar and the euro on Thursday after the Bank of England raised its key interest rate to 2.25% and vowed to ""respond forcefully, as necessary"" to inflation, despite the economy entering recession. <a href=""/markets/euro…",https://www.reuters.com/markets/europe/sterling-dented-by-modest-boe-rate-hike-2022-09-22/,https://www.reuters.com/resizer/HrhaG8Jv61uAHoTjEd_Sof1CD1o=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/MSK2LPH6VFK3XMNAU5ULTRWMUY.jpg,2022-09-22T11:34:00Z,"LONDON, Sept 22 (Reuters) - Sterling surrendered gains against the dollar and the euro on Thursday after the Bank of England raised its key interest rate to 2.25% and vowed to ""respond forcefully, as… [+1206 chars]"
5,"{'id': 'reuters', 'name': 'Reuters'}",,German economy to slide into recession - EconMin - Reuters.com,"The German government expects Europe's largest economy to slide into recession next year as an energy crisis, rising prices and supply bottlenecks take their toll, its economy minister said, <a href=""/markets/europe/exclusive-germany-slide-into-recession-next…",https://www.reuters.com/markets/europe/german-economy-slide-into-recession-econmin-2022-10-12/,https://www.reuters.com/resizer/oU9m0CHehHHcYd4AldxrHiLLdJg=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/5NOIUQE2OZKZHAHSWQV6MJ2VXY.jpg,2022-10-12T11:35:00Z,"BERLIN, Oct 12 (Reuters) - The German government expects Europe's largest economy to slide into recession next year as an energy crisis, rising prices and supply bottlenecks take their toll, its econ… [+644 chars]"
6,"{'id': 'reuters', 'name': 'Reuters'}",,Column: Copper price slump brings Chinese buyers out in force - Reuters,"While the rest of the world worries about recession, China is steadily increasing its imports of physical copper.",https://www.reuters.com/markets/commodities/copper-price-slump-brings-chinese-buyers-out-force-2022-09-27/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=111,2022-09-27T14:11:00Z,"LONDON, Sept 27 (Reuters) - While the rest of the world worries about recession, China is steadily increasing its imports of physical copper.
The country's net call on refined copper from the rest o… [+5791 chars]"
7,"{'id': 'reuters', 'name': 'Reuters'}",,"Futures fall on FedEx warning, recession fears - Reuters.com","U.S. stock index futures slipped on Friday, extending falls from overnight, after logistics industry bellwether FedEx withdrew its financial forecast and recession warnings from the World Bank and the International Monetary Fund.",https://www.reuters.com/markets/europe/futures-fall-fedex-warning-recession-fears-2022-09-16/,https://www.reuters.com/resizer/a2VymbMJAsHbCg4j_T_a0AJeEwg=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/FDDXH5H5I5P2DPFTJHN4PJ67LU.jpg,2022-09-16T09:11:00Z,"Sept 16 (Reuters) - U.S. stock index futures slipped on Friday, extending falls from overnight, after logistics industry bellwether FedEx withdrew its financial forecast and recession warnings from t… [+1411 chars]"
8,"{'id': 'reuters', 'name': 'Reuters'}",,SNB's Jordan can't rule out recession - Blick paper - Reuters,"The Swiss National Bank does not think the Swiss economy will slide into recession but cannot rule the prospect out, SNB Chairman Thomas Jordan said in a newspaper interview published on Friday.",https://www.reuters.com/markets/europe/snbs-jordan-cant-rule-out-recession-blick-paper-2022-09-23/,https://www.reuters.com/resizer/9lqTA_Td3SH_H-jM5BWUIV2Y-uA=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/CHR4SOW6EBPDNCF4PZTSR5SPSY.jpg,2022-09-23T05:29:00Z,"ZURICH, Sept 23 (Reuters) - The Swiss National Bank does not think the Swiss economy will slide into recession but cannot rule the prospect out, SNB Chairman Thomas Jordan said in a newspaper intervi… [+1361 chars]"
9,"{'id': 'reuters', 'name': 'Reuters'}",,Abu Dhabi leads Gulf declines on recession fears - Reuters,"Abu Dhabi's stock market fell in early trade on Monday, leading declines in the Gulf on investor concern about the prospect of a global recession.",https://www.reuters.com/markets/asia/abu-dhabi-leads-gulf-declines-recession-fears-2022-09-26/,https://www.reuters.com/resizer/MyQoXqb9dWpL6iKgAwg0WFlRbOo=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/FY4LMVEFAZMQTGMQWUH7KNJFGE.jpg,2022-09-26T08:48:00Z,"Sept 26 (Reuters) - Abu Dhabi's stock market fell in early trade on Monday, leading declines in the Gulf on investor concern about the prospect of a global recession.
MSCI's broadest index of Asia-P… [+1347 chars]"
